Metal,Non-metal,Metal-clip,Total,Fidelity
0.13685982178092362,0.3719999479729811,0.13127287024483048,0.2827500089579633,PBE
0.15128999665596568,0.36309585296252767,0.14991511922425088,0.28254084629464515,PBE
0.1970598343294579,0.45482359635826236,0.19518023351212957,0.3562480373168743,PBE
0.14023016198710922,0.3906307194516351,0.13868887653657383,0.29621033732461044,PBE
0.12217239355365477,0.36923778832707904,0.12108133087503448,0.2792842749673567,PBE
0.18251919205770642,0.41663868193652764,0.17547739293010262,0.32813391202818243,PBE
,0.445922081952272,,0.445922081952272,GLLB-SC
,0.4664103626299112,,0.4664103626299112,GLLB-SC
,0.539522986744689,,0.539522986744689,GLLB-SC
,0.5381076740552244,,0.5381076740552244,GLLB-SC
,0.4583675524282663,,0.4583675524282663,GLLB-SC
,0.5328005000774516,,0.5328005000774516,GLLB-SC
0.14205059237863826,0.4618955133252387,0.13858612212869856,0.32345517440805344,HSE
0.16257216045501785,0.41229591778677793,0.16120182145649278,0.2946814118461148,HSE
0.20029414389874825,0.5550723125150766,0.19852647838238693,0.3885677988858545,HSE
0.12371416258541021,0.4157264183590584,0.12256205444308844,0.28255333322182247,HSE
0.16722556801907945,0.4322503478105958,0.16564920917153358,0.31621959844913594,HSE
0.23173936806563147,0.49266380530841986,0.22239334469563082,0.3775628097751169,HSE
0.018454618752002716,0.34612500548210556,0.0,0.339298539091895,SCAN
0.9945708513259888,0.3079843996933166,0.9945708513259888,0.3222882841023306,SCAN
0.21243881434202194,0.5491022927325705,0.21243881434202194,0.535074647799631,SCAN
0.3580782567150891,0.5726018681681027,0.3580782567150891,0.5636633843575604,SCAN
0.5201022823651632,0.6163459734577602,0.5201022823651632,0.610330742764473,SCAN
0.13128828008969626,0.3557146357790629,0.13128828008969626,0.34168798854847743,SCAN
0.18492435928630202,0.6110088532360592,0.17620695147075152,0.37202419242291124,Exp
0.18427718265189064,0.5390615667950046,0.183418440349676,0.36232395845802895,Exp
0.2875231155732862,0.5762607585795565,0.2875231155732862,0.4196392326684062,Exp
0.20058738397888076,0.6512722824165114,0.20015263863695928,0.3918374331313808,Exp
0.1703153213774654,0.6021136098514007,0.1701002308810261,0.37585768009753057,Exp
0.33507658465065226,0.6499891664086479,0.32703326582691095,0.4907898169590339,Exp
